id,x,y
911,0.12,0.33
912,0.00,0.00
913,0.13,0.73
914,0.17,0.50
915,0.15,0.61
916,0.21,0.81
917,0.16,0.63
918,0.22,0.83
919,0.40,0.22
920,0.00,0.00
921,0.00,0.00
922,0.14,0.33
923,0.16,0.62
924,0.08,0.64
925,0.28,0.57
926,0.29,0.50
927,0.16,0.45
928,0.07,0.58
929,0.14,0.63
930,0.15,0.83
931,0.00,0.00
932,0.15,0.50
933,0.14,0.74
934,0.23,0.37
935,0.12,0.44
936,0.00,0.00
937,0.14,0.39
938,0.00,0.00
939,0.18,0.47
940,0.13,0.56
941,0.16,0.87
942,0.16,0.42
943,0.17,0.45
944,0.13,0.57
945,0.15,0.70
946,0.12,0.50
947,0.17,0.63
948,0.15,0.68
949,0.13,0.59
950,0.22,0.60
951,0.00,0.00
952,0.14,0.63
953,0.00,0.00
954,0.09,0.53
955,0.00,0.00
956,0.17,0.86
957,0.10,0.73
958,0.25,0.00
959,0.02,0.00
960,0.25,0.72
961,0.17,0.62
962,0.20,0.48
963,0.00,0.00
964,0.17,0.58
965,0.13,0.71
966,0.00,0.00
967,0.16,0.68
968,0.13,0.59
969,0.19,0.56
970,0.10,0.88
971,0.13,0.65
972,0.08,0.60
973,0.00,0.00
974,0.00,0.00
975,0.14,0.51
976,0.00,0.00
977,0.00,0.00
978,0.09,0.45
979,0.14,0.16
980,0.13,0.75
981,0.25,0.54
982,0.00,0.00
983,0.09,0.25
984,0.00,0.00
985,0.00,0.00
986,0.06,0.13
987,0.12,0.45
988,0.00,0.00
989,0.18,0.61
990,0.10,0.66
991,0.12,0.45
992,0.15,0.58
993,0.14,0.67
994,0.19,0.70
995,0.15,0.69
996,0.14,0.38
997,0.22,0.70
998,0.13,0.65
999,0.00,0.00
1000,0.16,0.69
1001,0.16,0.65
1002,0.16,0.61
1003,0.14,0.67
1004,0.17,0.36
1005,0.18,0.63
1006,0.15,0.47
